Instance,N,BKS,BKS_norm,greedy,beam_10,beam_100,beam_1000,beam_5000,beam_1000_temp1.5,beam_1000_temp2.0,beam_1000_temp3.0,sampling_1000,sampling_100000,sampling_10000_temp1.5,sampling_10000_temp2.0,sampling_10000_temp3.0,Best,Gap_percent
X-n110-k13,109,14971.0,15.19,84.18,77.54,74.92,72.60,73.59,74.04,71.72,74.25,68.01,67.29,66.94,66.76,65.08,65.08,328.32
X-n115-k10,114,12747.0,12.98,85.31,80.76,70.14,70.45,70.40,69.53,69.84,71.25,66.58,64.44,65.62,65.37,63.74,63.74,390.98
