Instance,N,BKS,BKS_norm,greedy,beam_10,beam_100,beam_1000,beam_5000,beam_1000_temp1.5,beam_1000_temp2.0,beam_1000_temp3.0,sampling_1000,sampling_100000,sampling_10000_temp1.5,sampling_10000_temp2.0,sampling_10000_temp3.0,Best,Gap_percent
X-n110-k13,109,14971.0,15.19,84.18,77.54,74.92,72.60,73.59,74.04,71.72,74.25,67.79,65.87,67.65,67.36,65.78,65.78,332.91
X-n115-k10,114,12747.0,12.98,85.31,80.76,70.14,70.45,70.40,69.53,69.84,71.25,67.86,64.52,65.34,65.14,63.98,63.98,392.85
