Instance,N,BKS,BKS_norm,greedy,beam_10,beam_100,beam_1000,beam_5000,beam_1000_temp1.5,beam_1000_temp2.0,beam_1000_temp3.0,sampling_1000,sampling_100000,sampling_10000_temp1.5,sampling_10000_temp2.0,sampling_10000_temp3.0,Best,Gap_percent
X-n110-k13,109,14971.0,15.19,84.18,66.94,65.51,62.79,57.99,59.72,60.83,63.94,53.84,51.36,52.21,52.75,51.13,51.13,236.54
X-n115-k10,114,12747.0,12.98,85.31,60.39,60.50,60.26,58.68,61.84,61.68,58.86,54.60,52.16,52.67,53.18,52.99,52.16,301.81
X-n153-k22,152,21220.0,24.37,128.23,71.60,83.33,81.85,70.71,68.35,65.71,76.03,71.56,67.85,69.37,69.79,70.34,65.71,169.61
X-n172-k51,171,45607.0,47.04,136.76,102.14,105.07,103.98,104.05,101.65,104.76,104.72,96.23,94.03,96.01,95.50,94.90,94.03,99.90
X-n120-k6,119,13332.0,13.63,174.83,87.20,88.78,87.05,84.15,84.33,84.36,86.38,58.49,58.62,59.82,59.87,60.81,58.49,329.17
X-n129-k18,128,28940.0,29.11,177.11,90.25,114.40,101.07,101.64,103.82,104.95,98.79,71.14,67.73,69.14,68.44,70.00,67.73,132.66
X-n125-k30,124,55539.0,57.20,217.98,120.28,100.85,90.51,96.85,91.75,96.11,96.11,91.23,85.38,88.65,88.62,89.84,85.38,49.26
X-n134-k13,133,10916.0,15.57,121.77,108.69,94.18,87.70,87.26,89.42,89.75,87.63,54.88,53.43,54.13,54.25,54.40,53.43,243.15
X-n344-k43,343,42050.0,42.32,265.80,200.88,216.92,206.37,208.70,208.87,211.41,206.24,178.33,175.42,177.72,177.46,176.54,175.42,314.54
X-n351-k40,350,25896.0,28.41,186.93,131.38,161.90,135.81,133.88,127.37,131.84,135.14,119.93,115.21,117.75,117.56,117.38,115.21,305.54
X-n393-k38,392,38260.0,38.73,309.12,180.24,255.18,171.23,OOM,169.41,172.26,174.25,184.52,179.15,179.52,180.83,181.36,169.41,337.42
X-n420-k130,419,107798.0,108.26,319.86,227.26,236.45,228.59,OOM,233.34,233.94,231.05,226.33,222.37,226.85,226.86,224.82,222.37,105.40
X-n376-k94,375,147713.0,147.96,559.24,326.18,381.75,324.73,OOM,324.43,325.80,316.88,272.96,266.22,271.76,271.49,274.89,266.22,79.93
X-n384-k52,383,65940.0,66.17,414.92,253.54,315.99,290.56,OOM,282.94,279.34,285.95,213.88,209.30,210.91,210.24,210.25,209.30,216.33
X-n317-k53,316,78355.0,78.49,440.37,253.07,269.46,231.75,229.70,234.64,232.35,232.64,193.00,186.24,189.75,191.48,192.09,186.24,137.29
X-n367-k17,366,22814.0,25.10,399.48,276.30,286.78,250.60,OOM,254.30,245.85,244.56,156.59,152.01,154.05,154.62,152.62,152.01,505.54
